Project,AbstractClassWithoutAnyMethod,AvoidCatchingGenericException,AvoidDeeplyNestedIfStmts,AvoidRethrowingException,AvoidThrowingNewInstanceOfSameException,AvoidThrowingNullPointerException,AvoidThrowingRawExceptionTypes,AvoidUncheckedExceptionsInSignatures,ClassWithOnlyPrivateConstructorsShouldBeFinal,CognitiveComplexity,CollapsibleIfStatements,CouplingBetweenObjects,CyclomaticComplexity,DataClass,DoNotExtendJavaLangError,ExceptionAsFlowControl,ExcessiveClassLength,ExcessiveImports,ExcessiveMethodLength,ExcessiveParameterList,ExcessivePublicCount,FinalFieldCouldBeStatic,GodClass,ImmutableField,LawOfDemeter,LogicInversion,MutableStaticState,NPathComplexity,NcssCount,SignatureDeclareThrowsException,SimplifiedTernary,SimplifyBooleanExpressions,SimplifyBooleanReturns,SimplifyConditional,SingularField,SwitchDensity,TooManyFields,TooManyMethods,UseObjectForClearerAPI,UseUtilityClass,UselessOverridingMethod
lawnchair,56,12,13,2,17,0,10,221,23,45,14,93,7361,0,5,0,3,127,69,86,0,20,74,137,253,1,64,133,3,39,0,58,39,46,0,7,28,14,1,2,5
flink-cdc-connectors,2,4,2,1,8,0,0,7,3,14,6,8,1531,0,0,0,0,22,30,18,0,0,5,24,23,0,14,5,0,5,0,5,4,56,0,1,1,0,0,0,3
src,16,6,8,0,5,0,3,49,0,13,12,44,2005,0,2,0,2,24,14,3,2,7,21,26,81,0,4,34,0,10,3,14,18,0,0,5,1,0,4,0,0
spark,2,0,1,0,3,0,3,15,9,3,0,6,684,0,0,0,0,2,23,19,0,3,2,22,14,18,40,20,1,1,1,1,1,45,2,0,5,2,0,0,3
HacktoberFest,4,4,1,0,0,0,0,25,7,7,0,6,396,0,0,0,0,0,0,0,21,0,2,1,35,0,81,12,1,15,4,1,30,4,0,0,0,0,0,0,3
LSPosed,12,1,2,2,4,2,1,38,14,4,8,18,1049,0,0,0,0,14,28,30,0,3,9,13,42,8,44,0,0,4,0,3,1,3,43,1,6,1,1,10,7
retrofit,8,0,3,1,0,1,0,13,0,2,0,7,3679,0,0,0,1,6,67,17,0,3,4,25,27,0,12,0,0,3,0,1,0,57,3,2,1,0,0,28,1
EdXposed,0,0,2,0,1,0,0,16,0,10,1,6,359,0,0,0,1,3,17,21,0,1,8,12,41,0,0,3,0,10,0,2,1,0,0,0,0,0,0,68,8
TelegramBots,4,0,1,0,4,0,0,18,20,2,4,24,1497,0,0,0,1,9,6,11,0,0,3,20,83,0,2,12,0,0,0,6,3,12,0,6,2,36,0,0,7
JsonPath,1,2,1,0,7,0,0,16,2,1,0,6,2587,0,0,0,0,1,28,0,3,3,7,36,24,0,10,19,1,4,1,0,0,77,1,1,3,5,2,0,2
Lavalink,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,0,0,0,1,3,0,0,0,0,0,0,5
NewPipe,20,0,3,0,0,0,1,84,0,11,1,46,3082,0,0,0,1,35,70,23,0,3,31,54,135,0,2,2,9,15,0,11,3,8,0,3,10,1,0,0,10
APIJSON,10,1,3,0,0,0,1,49,15,16,2,36,477,0,4,0,0,3,42,6,0,7,9,12,63,12,4,0,12,18,202,4,0,100,0,0,6,0,0,4,3
RePlugin,43,5,4,0,3,0,1,87,46,8,1,47,1288,0,0,0,0,9,155,7,1,4,29,42,123,3,107,38,0,8,16,5,6,3,0,7,40,9,2,9,10
react-native-push-notification,0,0,0,0,1,0,0,4,1,2,0,3,127,0,11,0,0,2,12,0,0,0,2,2,5,0,0,10,0,2,0,1,0,0,0,0,0,0,0,0,0
XUI,76,2,10,0,20,0,8,147,27,22,10,56,4425,0,0,0,0,30,51,24,2,22,80,97,202,12,16,331,3,29,0,59,14,13,0,11,16,10,12,4,6
Mybatis-PageHelper,3,3,0,0,0,0,0,12,7,0,0,2,676,0,0,0,1,0,19,10,0,2,4,5,9,0,15,5,0,0,0,1,0,1,0,0,0,0,0,0,7
async-http-client,5,0,2,0,5,0,0,28,2,11,2,13,3026,0,0,0,0,9,82,23,0,9,16,58,35,2,15,22,0,9,0,8,0,202,0,0,1,4,0,1,5
serve,2,0,1,0,0,0,0,22,5,4,2,10,1460,0,0,0,0,14,17,2,0,3,8,10,33,1,0,105,1,5,0,1,6,1,0,0,0,0,0,0,42
jedis,0,1,12,0,3,0,0,7,21,1,19,1,3666,0,0,0,0,10,85,11,0,23,13,68,21,0,14,29,0,5,0,0,0,48,1,0,1,2,0,1,10
easyexcel,4,0,1,0,15,0,0,33,12,4,1,27,2754,0,0,0,0,15,27,1,0,3,11,28,57,0,17,30,0,4,1,10,1,105,2,0,3,0,1,1,10
litemall,4,3,61,0,1,0,0,35,1,4,4,83,2391,0,0,0,0,4,24,143,0,38,52,86,124,31,19,49,15,7,0,20,3,4,0,0,0,1,0,0,85
